Date,Value,Phenologic
2023-05-25,0.14045700482796233,vos_start
2023-10-17,0.14533446672766226,vos_end
2023-06-24,0.9057000546844934,pos
2023-05-26,0.17344084978880722,bos_der
2023-08-25,0.5092967249561141,eos_der
2023-05-30,0.30537622963218675,bos_abs
2023-09-05,0.29702444790735216,eos_abs
,145.0,Days between vos_end and vos_start
,-98.0,Days between bos_abs and eos_abs
,0.6003238250523066,NDVI difference between bos_abs and pos
,-25.0,Days difference between bos_abs and pos
,5.0,Days difference between vos_start and bos_abs
,0.1649192248042244,NDVI difference between vos_start and bos_abs
,42.0,Days difference between vos_end and eos_abs
,0.6086756067771413,NDVI difference between eos_abs and pos
,-73.0,Days difference between eos_abs and pos
,0.1516899811796899,NDVI difference between eos_abs and vos_end
,0.0,Count 85% percentiles days between bos_abs and eos_abs
