Date,Value,Phenologic
2023-06-09,0.47087501002982896,vos_start
2023-12-06,0.33509604760432865,vos_end
2023-07-29,0.6662583816723715,pos
2023-06-26,0.5234068138988889,bos_der
2023-08-21,0.5839599772964557,eos_der
2023-12-05,0.3356244780413844,bos_abs
2023-12-06,0.33509604760432865,eos_abs
,180.0,Days between vos_end and vos_start
,-1.0,Days between bos_abs and eos_abs
,0.3306339036309871,NDVI difference between bos_abs and pos
,129.0,Days difference between bos_abs and pos
,179.0,Days difference between vos_start and bos_abs
,-0.13525053198844456,NDVI difference between vos_start and bos_abs
,0.0,Days difference between vos_end and eos_abs
,0.33116233406804285,NDVI difference between eos_abs and pos
,-130.0,Days difference between eos_abs and pos
,0.0,NDVI difference between eos_abs and vos_end
,0.0,Count 85% percentiles days between bos_abs and eos_abs
