id_image,date_image,ndvi_value,evi_value,savitzky_golay,timestamps
20230105T164659_20230105T164700_T15SYV,2023-01-05,0.3799968923096158,2.8775975472472584,0.35510604940714413,2023-01-05
,,0.3743558364809801,2.8709889292293447,0.363880364589261,2023-01-06
,,0.36871478065234436,2.8643803112114306,0.3726546797713779,2023-01-07
,,0.36307372482370864,2.857771693193517,0.38142899495349475,2023-01-08
,,0.3574326689950729,2.8511630751756027,0.39020331013561166,2023-01-09
20230110T164651_20230110T164811_T15SYV,2023-01-10,0.3517916131664372,2.844554457157689,0.3989776253177285,2023-01-10
,,0.3584583505905699,2.850521469773283,0.39776456450379344,2023-01-11
,,0.36512508801470267,2.856488482388877,0.3965515036898584,2023-01-12
,,0.3717918254388354,2.862455495004471,0.39533844287592335,2023-01-13
,,0.37845856286296814,2.868422507620065,0.3941253820619883,2023-01-14
20230115T164629_20230115T164631_T15SYV,2023-01-15,0.38512530028710085,2.874389520235659,0.39291232124805325,2023-01-15
,,0.3869960090224833,2.870504749990103,0.37903754456364347,2023-01-16
,,0.38886671775786585,2.866619979744547,0.36516276787923363,2023-01-17
,,0.39073742649324833,2.8627352094989904,0.35128799119482385,2023-01-18
,,0.39260813522863086,2.8588504392534344,0.337413214510414,2023-01-19
20230120T164611_20230120T164959_T15SYV,2023-01-20,0.39447884396401334,2.8549656690078784,0.3235384378260042,2023-01-20
,,0.38492912959640274,2.8537054175243197,0.3232459603491548,2023-01-21
,,0.37537941522879215,2.852445166040761,0.3229534828723054,2023-01-22
,,0.3658297008611815,2.8511849145572024,0.322661005395456,2023-01-23
,,0.3562799864935709,2.8499246630736437,0.3223685279186066,2023-01-24
,,0.3467302721259603,2.848664411590085,0.32207605044175713,2023-01-25
,,0.33718055775834965,2.847404160106526,0.3217835729649077,2023-01-26
,,0.32763084339073906,2.846143908622967,0.3214910954880583,2023-01-27
,,0.31808112902312846,2.8448836571394085,0.3211986180112089,2023-01-28
,,0.30853141465551787,2.84362340565585,0.3209061405343595,2023-01-29
,,0.29898170028790727,2.842363154172291,0.3206136630575101,2023-01-30
,,0.2894319859202966,2.8411029026887324,0.3203211855806607,2023-01-31
,,0.279882271552686,2.8398426512051738,0.3200287081038113,2023-02-01
,,0.27033255718507543,2.838582399721615,0.3197362306269619,2023-02-02
,,0.2607828428174648,2.8373221482380564,0.3194437531501125,2023-02-03
,,0.2512331284498542,2.8360618967544973,0.31915127567326307,2023-02-04
,,0.2416834140822436,2.8348016452709386,0.3188587981964136,2023-02-05
,,0.232133699714633,2.83354139378738,0.3185663207195642,2023-02-06
,,0.22258398534702237,2.832281142303821,0.3182738432427148,2023-02-07
,,0.21303427097941174,2.8310208908202625,0.3179813657658654,2023-02-08
20230209T164431_20230209T165046_T15SYV,2023-02-09,0.20348455661180115,2.829760639336704,0.317688888289016,2023-02-09
,,0.20926074029276545,2.831077941522426,0.31926697819631883,2023-02-10
,,0.21503692397372975,2.8323952437081483,0.3208450681036216,2023-02-11
