Date,Value,Phenologic
2023-05-20,0.15891378362322478,vos_start
2023-11-16,0.15594761551954903,vos_end
2023-07-29,0.8165179347206188,pos
2023-06-26,0.5433131871174607,bos_der
2023-09-18,0.5391106720969056,eos_der
2023-06-08,0.30132227488187047,bos_abs
2023-10-14,0.29991247734717325,eos_abs
,180.0,Days between vos_end and vos_start
,-128.0,Days between bos_abs and eos_abs
,0.5151956598387484,NDVI difference between bos_abs and pos
,-51.0,Days difference between bos_abs and pos
,19.0,Days difference between vos_start and bos_abs
,0.1424084912586457,NDVI difference between vos_start and bos_abs
,33.0,Days difference between vos_end and eos_abs
,0.5166054573734455,NDVI difference between eos_abs and pos
,-77.0,Days difference between eos_abs and pos
,0.14396486182762422,NDVI difference between eos_abs and vos_end
,0.0,Count 85% percentiles days between bos_abs and eos_abs
