Date,Value,Phenologic
2023-05-25,0.1875699171391131,vos_start
2023-12-06,0.15937409359825944,vos_end
2023-07-29,0.8948645925709348,pos
2023-06-26,0.6374961250865991,bos_der
2023-09-28,0.42800400827640467,eos_der
2023-06-04,0.2910781602408363,bos_abs
2023-06-05,0.30789863009918433,eos_abs
,195.0,Days between vos_end and vos_start
,-1.0,Days between bos_abs and eos_abs
,0.6037864323300984,NDVI difference between bos_abs and pos
,-55.0,Days difference between bos_abs and pos
,10.0,Days difference between vos_start and bos_abs
,0.10350824310172321,NDVI difference between vos_start and bos_abs
,184.0,Days difference between vos_end and eos_abs
,0.5869659624717505,NDVI difference between eos_abs and pos
,54.0,Days difference between eos_abs and pos
,0.1485245365009249,NDVI difference between eos_abs and vos_end
,0.0,Count 85% percentiles days between bos_abs and eos_abs
