Date,Value,Phenologic
2023-05-30,0.264119162221964,vos_start
2023-10-07,0.2079534029990987,vos_end
2023-07-29,0.8445219205721518,pos
2023-06-10,0.45360705884628666,bos_der
2023-08-22,0.5464709032265999,eos_der
2023-09-22,0.3056938201321959,bos_abs
2023-09-23,0.2969722055543859,eos_abs
,130.0,Days between vos_end and vos_start
,-1.0,Days between bos_abs and eos_abs
,0.5388281004399559,NDVI difference between bos_abs and pos
,55.0,Days difference between bos_abs and pos
,115.0,Days difference between vos_start and bos_abs
,0.041574657910231905,NDVI difference between vos_start and bos_abs
,14.0,Days difference between vos_end and eos_abs
,0.547549715017766,NDVI difference between eos_abs and pos
,-56.0,Days difference between eos_abs and pos
,0.08901880255528721,NDVI difference between eos_abs and vos_end
,0.0,Count 85% percentiles days between bos_abs and eos_abs
