Date,Value,Phenologic
2023-05-10,0.12071770187637668,vos_start
2023-12-06,0.19894855420274632,vos_end
2023-08-23,0.6436085336283737,pos
2023-07-26,0.5907973440211282,bos_der
2023-09-08,0.5748651832983821,eos_der
2023-06-14,0.2972551904509899,bos_abs
2023-10-04,0.29906517261191207,eos_abs
,210.0,Days between vos_end and vos_start
,-112.0,Days between bos_abs and eos_abs
,0.34635334317738375,NDVI difference between bos_abs and pos
,-70.0,Days difference between bos_abs and pos
,35.0,Days difference between vos_start and bos_abs
,0.17653748857461324,NDVI difference between vos_start and bos_abs
,63.0,Days difference between vos_end and eos_abs
,0.3445433610164616,NDVI difference between eos_abs and pos
,-42.0,Days difference between eos_abs and pos
,0.10011661840916575,NDVI difference between eos_abs and vos_end
,0.0,Count 85% percentiles days between bos_abs and eos_abs
